Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 098 017 077 100 100     
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 088 000 078 010
6999 000 098 089 078 020
1236 060 080 100 075 034
2136 097 036 098 077 036
3126 100 044 020 099 070
4534 011 017 079 032 075
5680 060 032 045 078 034
6136 054 089 055 078 045
7876 060 100 056 074 078
8028 070 012 068 078 056
9895 034 009 077 074 020
1949 045 040 088 078 055
2879 055 050 099 074 080
3191 022 077 100 078 078
4604 090 050 097 074 060
5407 011 011 000 078 016
7001 009 098 089 074 024
1239 060 080 100 075 034
2139 097 026 098 077 036
3129 090 044 020 089 070
4537 015 017 079 037 075
5683 060 032 065 078 034
6139 054 080 087 078 045
7879 060 009 056 074 078
8031 070 012 068 078 056
9898 034 009 077 074 020
1951 045 070 088 078 055
2881 051 046 095 088 084
3193 026 074 094 082 081
